"Record",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cloud Native Patterns: Designing change-tolerant software","C. Davis",Manning Publications,Cloud Native Patterns: Designing change-tolerant software,"","2019","","","","","Cloud Native Patterns is your guide to developing strong applications that thrive in the dynamic, distributed, virtual world of the cloud. This book presents a mental model for cloud-native applications, along with the patterns, practices, and tooling that set them apart.","","9781617294297","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10280241.pdf&bkn=10280240&pdfType=book","","","","","","","","31 Oct 2023","","","Manning","Manning eBooks"
"Demo Paper: Benchmarking Scalability of Cloud-Native Applications with Theodolite","S. Henning; W. Hasselbring","Kiel University, Software Engineering Group; Kiel University, Software Engineering Group",2022 IEEE International Conference on Cloud Engineering (IC2E),"16 Nov 2022","2022","","","275","276","Theodolite is a framework for benchmarking the scalability of cloud-native applications. It automates deployment and monitoring of a cloud-native application for different load intensities and provisioned cloud resources and assesses whether specified service level objectives (SLOs) are fulfilled. Provided as a Kubernetes Operator, Theodolite allows defining, sharing, and archiving benchmarks and experiment configurations in declarative files. We demonstrate Theodolite's benchmarking method and show how researchers and cloud engineers can execute existing scalability benchmarks or define new ones with Theodolite.","","978-1-6654-9115-0","10.1109/IC2E55432.2022.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9946349","benchmarking;scalability;cloud-native","Theodolites;Scalability;Benchmark testing;Monitoring","","3","","8","IEEE","16 Nov 2022","","","IEEE","IEEE Conferences"
"Cloud Native Applications with Ballerina: A guide for programmers interested in developing cloud native applications using Ballerina Swan Lake","D. Madushan",NA,Cloud Native Applications with Ballerina: A guide for programmers interested in developing cloud native applications using Ballerina Swan Lake,"","2021","","","","","Learn how to build scalable cloud native applications with the new-generation Ballerina language using expert tips and best practicesKey FeaturesWork with code samples based on the Ballerina Swan Lake Beta1 versionExplore the in-built networking protocol support in Ballerina to develop secure distributed appsBuild a Ballerina app with an automated CI/CD pipeline with observability to simplify maintenance and deploymentBook DescriptionThe Ballerina programming language was created by WSO2 for the modern needs of developers where cloud native development techniques have become ubiquitous. Ballerina simplifies how programmers develop and deploy cloud native distributed apps and microservices. Cloud Native Applications with Ballerina will guide you through Ballerina essentials, including variables, types, functions, flow control, security, and more. You'll explore networking as an in-built feature in Ballerina, which makes it a first-class language for distributed computing. With this app development book, you'll learn about different networking protocols as well as different architectural patterns that you can use to implement services on the cloud. As you advance, you'll explore multiple design patterns used in microservice architecture and use serverless in Amazon Web Services (AWS) and Microsoft Azure platforms. You will also get to grips with Docker, Kubernetes, and serverless platforms to simplify maintenance and the deployment process. Later, you'll focus on the Ballerina testing framework along with deployment tools and monitoring tools to build fully automated observable cloud applications. By the end of this book, you will have learned how to apply the Ballerina language for building scalable, resilient, secured, and easy-to-maintain cloud native Ballerina projects and applications.What you will learnUnderstand the concepts and models in cloud native architectureGet to grips with the high-level concepts of building applications with the Ballerina languageUse cloud native architectural design patterns to develop cloud native Ballerina applicationsDiscover how to automate, maintain, and observe cloud native Ballerina applicationsUse a container to deploy and maintain a Ballerina application with Docker and KubernetesExplore serverless architecture and use Microsoft Azure and the AWS platform to build serverless applicationsWho this book is forThis Ballerina Swan Lake book is for cloud developers, integration developers, and microservices developers who are facing challenges with legacy tooling and are looking for the latest tools and technologies to solve them. Beginner-level programming knowledge is required before getting started with this Ballerina book.","","9781800206656","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162877.pdf&bkn=10162876&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Practical Cloud-Native Java Development with MicroProfile: Develop and deploy scalable, resilient, and reactive cloud-native applications using MicroProfile 4.1","E. Jiang; A. McCright; J. Alcorn; D. Chan; A. Nottingham; E. Herness",NA; NA; NA; NA; NA; NA,"Practical Cloud-Native Java Development with MicroProfile: Develop and deploy scalable, resilient, and reactive cloud-native applications using MicroProfile 4.1","","2021","","","","","Written by leading MicroProfile experts, this book provides you with best practices for building enterprise-grade cloud-native applications using MicroProfile 4.1 and running them on Open Liberty with Docker, Kubernetes, and IstioKey FeaturesApply your knowledge of MicroProfile APIs to develop cloud-native applicationsUse MicroProfile Health to provide the startup, liveness, and readiness status of your enterprise applicationBuild an end-to-end stock trader project and containerize it to deploy to the cloud with Istio interactionBook DescriptionIn this cloud-native era, most applications are deployed in a cloud environment that is public, private, or a combination of both. To ensure that your application performs well in the cloud, you need to build an application that is cloud native. MicroProfile is one of the most popular frameworks for building cloud-native applications, and fits well with Kubernetes. As an open standard technology, MicroProfile helps improve application portability across all of MicroProfile's implementations. Practical Cloud-Native Java Development with MicroProfile is a comprehensive guide that helps you explore the advanced features and use cases of a variety of Jakarta and MicroProfile specifications. You'll start by learning how to develop a real-world stock trader application, and then move on to enhancing the application and adding day-2 operation considerations. You'll gradually advance to packaging and deploying the application. The book demonstrates the complete process of development through to deployment and concludes by showing you how to monitor the application's performance in the cloud. By the end of this book, you will master MicroProfile's latest features and be able to build fast and efficient cloud-native applications.What you will learnUnderstand best practices for applying the 12-Factor methodology while building cloud-native applicationsCreate client-server architecture using MicroProfile Rest Client and JAX-RSConfigure your cloud-native application using MicroProfile ConfigSecure your cloud-native application with MicroProfile JWTBecome well-versed with running your cloud-native applications in Open LibertyGrasp MicroProfile Open Tracing and learn how to use Jaeger to view trace spansDeploy Docker containers to Kubernetes and understand how to use ConfigMap and Secrets from KubernetesWho this book is forThis book is for Java application developers and architects looking to build efficient applications using an open standard framework that performs well in the cloud. DevOps engineers who want to understand how cloud-native applications work will also find this book useful. A basic understanding of Java, Docker, Kubernetes, and cloud is needed to get the most out of this book.","","9781801072052","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162598.pdf&bkn=10162597&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Design of Cloud Native Application Architecture Based on Kubernetes","Q. Jiao; B. Xu; Y. Fan","Department of Electronic Commerce, South China University of Technology, Guangzhou, China; Department of Electronic Commerce, South China University of Technology, Guangzhou, China; Department of Electronic Commerce, South China University of Technology, Guangzhou, China","2021 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","15 Mar 2022","2021","","","494","499","With the development of software architecture and the concept of cloud computing, cloud Nativity has gradually become one of the most concerned concepts in the software industry. In cloud-native platform, Kubernetes is a micro-service style application architecture and choreography tool. It solves the complexity of software system through business logic modularization, and provides many primitives and abstract concepts of distributed application, and it provides an object-oriented distributed application construction idea. This paper designs and studies the cloud native application architecture based on Kubernetes to solve the performance monitoring and security problems of micro-service. The architecture has the following characteristics: decouples the environment related functions such as database deployment, performance detection deployment, service request security verification function and the main application, so that the micro-service applications pay more attention to the implementation of business logic; At the same time, based on the second level deployment of container, the above functional modules can be highly reused and the development cost can be reduced.","","978-1-6654-2174-4","10.1109/DASC-PICom-CBDCom-CyberSciTech52372.2021.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730448","Cloud-native;Micro-service;Containerization","Authorization;Cloud computing;Codes;Security management;System performance;Pipelines;Computer architecture","","4","","12","IEEE","15 Mar 2022","","","IEEE","IEEE Conferences"
"Online Experiment Platform: A Microservices-based Cloud Native Application","J. Li","National Key R&D Program of China, Beijing Key Laboratory of Big Data in Security & Protection Industry, Communication University of China, Beijing, China","2021 IEEE International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)","29 Oct 2021","2021","","","435","439","The development of cloud native technologies and web technologies is constantly innovating all aspects of web applications. As the scale of web applications continues to expand, the complexity of design, development, deployment and maintenance is getting higher and higher. The industry urgently needs a new web development paradigm to meet the upcoming challenge, so the concept of microservices comes into being, and soon becomes the preferred solution for large companies and individual developers. The emergence of public and private clouds further reduces the difficulty of implementing microservices-based applications. This article analyzes the idea of microservices architecture and its key components, then presents a microservices-based cloud native application Online experiment platform. As a complete product, its life cycle well demonstrates the advantages of microservices architecture and the practical significance of cloud native concept.","","978-1-6654-3881-0","10.1109/CEI52496.2021.9574601","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9574601","component;Cloud native;Microservices;Software engineering","Industries;Computer science;Cloud computing;Conferences;Computer architecture;Companies;Maintenance engineering","","1","","8","IEEE","29 Oct 2021","","","IEEE","IEEE Conferences"
"Effortless Cloud-Native App Development Using Skaffold: Simplify the development and deployment of cloud-native Spring Boot applications on Kubernetes with Skaffold","A. Choudhary",NA,Effortless Cloud-Native App Development Using Skaffold: Simplify the development and deployment of cloud-native Spring Boot applications on Kubernetes with Skaffold,"","2021","","","","","A practical guide to solving inner development loop problems in cloud-native applications by automating build, push, and deploy boilerplate using SkaffoldKey FeaturesLearn how to build and deploy cloud-native applications quickly with KubernetesCreate a production-ready continuous integration and continuous delivery (CI/CD) pipeline for cloud-native appsDiscover ways to create a GitOps-style CD workflow for cloud-native applicationsBook DescriptionKubernetes has become the de facto standard for container orchestration, drastically improving how we deploy and manage cloud-native apps. Although it has simplified the lives of support professionals, we cannot say the same for developers who need to be equipped with better tools to increase productivity. An automated workflow that solves a wide variety of problems that every developer faces can make all the difference! Enter Skaffold – a command-line tool that automates the build, push, and deploy steps for Kubernetes applications. This book is divided into three parts, starting with common challenges encountered by developers in building apps with Kubernetes. The second part covers Skaffold features, its architecture, supported container image builders, and more. In the last part, you'll focus on practical implementation, learning how to deploy Spring Boot apps to cloud platforms such as Google Cloud Platform (GCP) using Skaffold. You'll also create CI/CD pipelines for your cloud-native apps with Skaffold. Although the examples covered in this book are written in Java and Spring Boot, the techniques can be applied to apps built using other technologies too. By the end of this Skaffold book, you'll develop skills that will help accelerate your inner development loop and be able to build and deploy your apps to the Kubernetes cluster with Skaffold.What you will learnOvercome challenges faced while working in an inner development loop using SkaffoldAccelerate your development workflow using SkaffoldUnderstand Skaffold's architecture, internal working, and supported CLI commandsBuild and deploy containers to Kubernetes using the Skaffold CLI and Cloud CodeDeploy Spring Boot applications to fully managed Kubernetes services such as Google Kubernetes Engine using SkaffoldExplore best practices for developing an app with SkaffoldAvoid common pitfalls when developing cloud-native apps with Skaffold in KubernetesWho this book is forCloud-native application developers, software engineers working with Kubernetes, and DevOps professionals who are looking for a solution to simplify and improve their software development life cycle will find this book useful. Beginner-level knowledge of Docker, Kubernetes, and the container ecosystem is required to get started with this book.","","9781801076951","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162020.pdf&bkn=10162019&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Cloud Native with Kubernetes: Deploy, configure, and run modern cloud native applications on Kubernetes","A. Raul",NA,"Cloud Native with Kubernetes: Deploy, configure, and run modern cloud native applications on Kubernetes","","2021","","","","","Harness Kubernetes’ extensibility to deploy modern patterns and learn to effectively handle production issuesKey FeaturesBuild and run efficient cloud-native applications on Kubernetes using industry best practicesOperate Kubernetes in a production environment, troubleshoot clusters, and address security concernsDeploy cutting-edge Kubernetes patterns such as service mesh and serverless to your clusterBook DescriptionKubernetes is a modern cloud native container orchestration tool and one of the most popular open source projects worldwide. In addition to the technology being powerful and highly flexible, Kubernetes engineers are in high demand across the industry. This book is a comprehensive guide to deploying, securing, and operating modern cloud native applications on Kubernetes. From the fundamentals to Kubernetes best practices, the book covers essential aspects of configuring applications. You’ll even explore real-world techniques for running clusters in production, tips for setting up observability for cluster resources, and valuable troubleshooting techniques. Finally, you’ll learn how to extend and customize Kubernetes, as well as gaining tips for deploying service meshes, serverless tooling, and more on your cluster. By the end of this Kubernetes book, you’ll be equipped with the tools you need to confidently run and extend modern applications on Kubernetes.What you will learnSet up Kubernetes and configure its authenticationDeploy your applications to KubernetesConfigure and provide storage to Kubernetes applicationsExpose Kubernetes applications outside the clusterControl where and how applications are run on KubernetesSet up observability for KubernetesBuild a continuous integration and continuous deployment (CI/CD) pipeline for KubernetesExtend Kubernetes with service meshes, serverless, and moreWho this book is forThis book is for developers, architects, DevOps engineers, or anyone interested in developing and managing cloud-native applications. Those already running cloud applications and looking for a better way to manage their platform or others interested in a career change given the recent popularity of Kubernetes will also find this book helpful. Some familiarity with cloud computing, containers and DevOps is required, but no prior knowledge of building production applications using Kubernetes is needed to get started with this book.","","9781838820008","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162923.pdf&bkn=10162922&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Securing Cloud Native Applications Using Blockchain","P. Mendki","R&D Team, Talentica Software India Pvt. Ltd., Pune, India",2021 12th International Conference on Information and Communication Systems (ICICS),"28 Jun 2021","2021","","","419","423","Cloud computing technologies have dominated more that a decade. Wider adoption of cloud based processing has given rise to different architectural patterns. Cloud native applications have emerged out ensuring application agility and scalability. But they have their own challenges in terms of security. In the last few years, blockchain technology has found its applicability in non-cryptocurrency areas as well. This paper illustrates how blockchain can be used to address security challenges for the cloud native applications. This work focuses challenges and possible blockchain based solution in the areas of network security, identity management, authentication, container security and audit log for forensics.","2573-3346","978-1-6654-3351-8","10.1109/ICICS52457.2021.9464583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464583","cloud native applications;security;blockchain;containers;cybersecurity","Computers;Cloud computing;Scalability;Forensics;Authentication;Blockchain;Computer architecture","","3","","38","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"A Framework for Automated Monitoring and Orchestration of Cloud-Native applications","R. Chowdhury; C. Talhi; H. Ould-Slimane; A. Mourad","Department of Software Engineering and Information Technology, École de technologie supérieure, Montréal, Canada; Department of Software Engineering and Information Technology, École de technologie supérieure, Montréal, Canada; Department of Software Engineering and Information Technology, École de technologie supérieure, Montréal, Canada; Department of Software Engineering and Information Technology, École de technologie supérieure, Montréal, Canada","2020 International Symposium on Networks, Computers and Communications (ISNCC)","25 Dec 2020","2020","","","1","6","In the age of cloud-native implementation both monitoring and automated orchestration plays an important role for managing these applications' life cycle. There are lot of available monitoring tools which are able to monitor these implementations but they lack the application related metrics and also the automated orchestration is still at a premature stage. In this article we are proposing a framework that takes application related metrics along with the absolute and relative metrics and pro-actively performs automated orchestration using machine learning for scalability.","","978-1-7281-5628-6","10.1109/ISNCC49221.2020.9297238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9297238","Cloud-Native;Monitoring;Orchestration;Machine Learning","Measurement;Monitoring;Scalability;Prediction algorithms;Cloud computing;Machine learning algorithms;Containers","","1","","31","IEEE","25 Dec 2020","","","IEEE","IEEE Conferences"
