,,,,,,,152.08,154.6,155.52,,,,,,,,,,,,,,,,7,7,7,,,,,,
-6,,58.60400898,0.7569615243,0.5860400898,0.5044123424,,Base6,base7,base8,155.52,,,,,,,,,,,,,80.77092619,25.76680895,4502,4514,4509,RPS max,CPU MAX,1.001108893,4502,4558,4566
0,2022-09-14 06:50:51,0.5257920874,0,0.005257920874,0.00488377719,2022-09-14 06:50:51,0,0.102756,0.4131466667,0.751284451,2022-09-14 06:50:51,7,2022-09-14 06:50:51,100,100,100,98,2022-09-14 06:50:51,4680,2022-09-14 06:50:51,8,2022-09-14 06:50:51,532.5682783,65.0599355,0,1,1,150,0.6,0.1026421808,0,1,1
6,2022-09-14 06:50:57,0.5062366409,0,0.005062366409,0.006459826503,2022-09-14 06:50:57,0,2.546293333,4.621412,0.4490226508,2022-09-14 06:50:57,7,2022-09-14 06:50:57,100,100,100,98,2022-09-14 06:50:57,5040,2022-09-14 06:50:57,126,2022-09-14 06:50:57,492.1113094,65.0599355,0,1,1,150,0.65,2.543472893,0,1,1
12,2022-09-14 06:51:03,2.911647144,0.3041899502,0.02911647144,0.04637537553,2022-09-14 06:51:03,0.9177151111,10.03254533,13.71751733,0.2686325747,2022-09-14 06:51:03,7,2022-09-14 06:51:03,100,100,100,98,2022-09-14 06:51:03,5400,2022-09-14 06:51:03,358,2022-09-14 06:51:03,482.2387978,65.0599355,1,1,1,150,0.65,10.02143263,1,1,1
18,2022-09-14 06:51:09,6.930817911,0.2703737821,0.06930817911,0.1228564236,2022-09-14 06:51:09,5.629108,23.08572533,27.272144,0.1535053007,2022-09-14 06:51:09,7,2022-09-14 06:51:09,100,100,100,98,2022-09-14 06:51:09,6120,2022-09-14 06:51:09,766,2022-09-14 06:51:09,483.0872126,65.0599355,1,1,2,150,0.65,23.06015408,1,2,2
24,2022-09-14 06:51:15,14.16223596,0.2444912068,0.1416223596,0.1675542924,2022-09-14 06:51:15,16.00614133,44.483392,46.62762133,0.04598624746,2022-09-14 06:51:15,7,2022-09-14 06:51:15,100,100,100,98,2022-09-14 06:51:15,6480,2022-09-14 06:51:15,1181,2022-09-14 06:51:15,483.9922623,65.0599355,1,2,2,150,0.65,44.4341193,1,2,3
30,2022-09-14 06:51:21,20.06830524,0.1018302017,0.2006830524,0.238012614,2022-09-14 06:51:21,29.542176,67.48075067,72.331864,0.06706744531,2022-09-14 06:51:21,7,2022-09-14 06:51:21,100,99.94566212,100,98,2022-09-14 06:51:21,6840,2022-09-14 06:51:21,1803,2022-09-14 06:51:21,486.4382516,65.0599355,2,3,4,150,0.65,67.4060046,2,3,4
36,2022-09-14 06:51:27,30.74845505,0.1948322535,0.3074845505,0.3307939777,2022-09-14 06:51:27,51.53215467,88.73458267,98.08232667,0.09530508011,2022-09-14 06:51:27,7,2022-09-14 06:51:27,99.58447037,98.96399931,99.96350361,98,2022-09-14 06:51:27,7200,2022-09-14 06:51:27,2466,2022-09-14 06:51:27,491.1279572,65.0599355,3,4,5,150,0.65,88.63629447,3,4,5
42,2022-09-14 06:51:33,43.01537694,0.3438987747,0.4301537694,0.3721642688,2022-09-14 06:51:33,75.90313467,105.36,116.56,0.09608785175,2022-09-14 06:51:33,7,2022-09-14 06:51:33,99.71109945,98.39224175,99.97215482,98,2022-09-14 06:51:33,7560,2022-09-14 06:51:33,3307,2022-09-14 06:51:33,501.0789566,65.0599355,4,5,5,150,0.65,105.2432964,4,5,6
48,2022-09-14 06:51:39,44.22659048,0.434828745,0.4422659048,0.455854895,2022-09-14 06:51:39,97.12116267,116.72,128,0.088125,2022-09-14 06:51:39,7,2022-09-14 06:51:39,98.90615253,96.48775463,99.97686179,98,2022-09-14 06:51:39,9000,2022-09-14 06:51:39,4176,2022-09-14 06:51:39,515.009418,65.0599355,5,6,6,150,0.65,116.5907133,5,6,6
54,2022-09-14 06:51:45,53.16053272,0.4182209101,0.5316053272,0.4487431969,2022-09-14 06:51:45,110.4,122.28,135.84,0.09982332155,2022-09-14 06:51:45,7,2022-09-14 06:51:45,98.53707526,95.02185887,99.72976193,98,2022-09-14 06:51:45,9360,2022-09-14 06:51:45,4806,2022-09-14 06:51:45,536.8658319,65.0599355,5,6,6,150,0.65,122.1445547,5,6,6
60,2022-09-14 06:51:51,60.39353933,0.5955700479,0.6039353933,0.4738680113,2022-09-14 06:51:51,115.56,126.28,143.08,0.1174168297,2022-09-14 06:51:51,7,2022-09-14 06:51:51,95.59454718,94.557205,99.73867645,98,2022-09-14 06:51:51,9720,2022-09-14 06:51:51,5632,2022-09-14 06:51:51,566.4045671,65.0599355,6,6,7,150,0.65,126.1401241,6,6,7
66,2022-09-14 06:51:57,57.51431352,0.7166533995,0.5751431352,0.5625912007,2022-09-14 06:51:57,118.12,129.5978739,146.04,0.1125864568,2022-09-14 06:51:57,7,2022-09-14 06:51:57,93.14106326,94.81268307,99.74449373,98,2022-09-14 06:51:57,10080,2022-09-14 06:51:57,6528,2022-09-14 06:51:57,574.2167976,65.0599355,6,6,7,150,0.65,129.4543228,6,6,7
72,2022-09-14 06:52:03,60.21618423,0.6901597354,0.6021618423,0.5653377334,2022-09-14 06:52:03,116.92,133.2,145.76,0.08616904501,2022-09-14 06:52:03,7,2022-09-14 06:52:03,91.94639209,95.16444107,99.773471,98,2022-09-14 06:52:03,10440,2022-09-14 06:52:03,7345,2022-09-14 06:52:03,577.8312168,65.0599355,6,6,7,150,0.65,133.052459,6,6,7
