-6,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,
0,100,100,100,1,1,1,0.2433293333,0.205184,2.105685333,0.003068579133,3.57E-03,0.002704331608,1,1,1,0,0,0,98,7,Palaikyti,3092,,,0.65,,,,,,,,0.75
6,100,100,100,1,1,1,3.406434667,2.988272,6.854149333,0.003799120629,2.49E-03,0.2351966726,1,1,1,0,0,0,98,7,4040,4481,4478,eta,0.65,,,,,,,,0.75
12,84.48275862,95.45454545,75.81227437,1,1,1,7.441368,7.19888,11.18699333,0.2125667993,2.57E-01,0.5520246152,1,1,1,0,0,0,98,7,1288,5902,2837,divTotal,0.65,,,,,,,,0.75
18,56.39097744,66.03773585,56.28272251,1,1,1,11.639472,11.17230933,15.92982133,0.3050954144,4.85E-01,0.5520246152,1,1,2,0,0,-1,98,7,-1103,-21,-86,DivUnder,0.65,,,,,,,,0.75
24,33.2594235,48.49315068,45.16806723,1,1,1,16.86797333,16.120456,20.57855733,0.5338332827,7.46E-01,0.73489344,3,2,2,-2,-1,-1,98,7,185,5881,2751,DivOver,0.65,,,,,,,,0.75
30,27.32240437,32.12341198,31.34110787,1,1,1,20.76,20.730532,22.08,0.6568603075,9.97E-01,0.6265412954,4,3,4,-3,-2,-3,98,7,3122,10341,7143,Total,0.65,,,,,,,,0.75
36,23.07692308,27.3993808,27.63496144,1,1,1,21,20.84,22.08,0.551975463,9.97E-01,0.984361333,4,4,4,-3,-3,-3,98,7,0.77,2.31,1.6,,0.65,,,,,,,,0.75
42,20.21563342,23.79032258,24.43181818,1,1,1,20.96,21.12,21.88,0.9969654011,9.97E-01,0.43994847,5,4,4,-4,-3,-3,98,7,Atstatyti,798,,,0.65,,,,,,,,0.75
48,17.79359431,21.12171838,29.94729735,1,1,5,21.2,20.32,27.66979,0.9969654011,4.76E-01,0.4655119622,6,5,4,-5,-4,1,98,7,851,903,924,eta,0.65,,,,,,,,0.75
54,14.21800948,19.21824104,36.01630791,1,1,5,21.36,20.03272277,41.86408222,0.9948561027,3.93E-01,0.4895990644,7,5,5,-6,-4,0,98,7,337,1884,1572,divTotal,0.65,,,,,,,,0.75
60,12.97577855,18.96994996,49.55071493,1,18,5,21.16,19.88751889,59.58569167,0.9948561027,4.62E-01,0.5915359562,7,5,6,-6,13,-1,98,7,-323,-19,-24,DivUnder,0.65,,,,,,,,0.75
66,11.95219124,48.82781696,54.69869498,1,18,5,21.24,42.76294878,77.75445867,0.5185332978,4.67E-01,0.6328525613,8,4,7,-7,14,-2,98,7,14,1865,1548,DivOver,0.65,,,,,,,,0.75
72,11.02130786,65.80315276,59.83803393,1,18,5,21.12,72.17498169,97.483216,0.9978735465,5.17E-01,0.782546026,8,5,7,-7,13,-2,98,7,542,2749,2448,Total,0.65,,,,,,,,0.75
78,10.17639077,73.2173867,63.12235355,1,18,5,20.44,95.59108233,104.96,0.9978735465,5.17E-01,0.7044529699,8,6,8,-7,12,-3,98,7,0.64,3.04,2.65,,0.65,,,,,,,,0.75
84,8.880994671,77.60178408,67.75319365,1,21,5,20.08,116.403647,107.16,0.7659237627,4.01E-01,0.7325414119,8,7,7,-7,14,-2,98,7,,,,,0.65,,,,,,,,0.75
90,8.333333333,80.95207221,71.605983,1,21,5,20.12,130.360015,105.16,0.6323163739,3.25E-01,0.6342380363,8,7,7,-7,14,-2,98,7,,,,,0.65,,,,,,,,0.75
96,7.784120394,82.75015132,73.59500023,1,21,5,20.44,117.711796,96.2,0.9936346648,2.69E-01,0.5834460196,8,7,6,-7,14,-1,98,7,Bendras,,,,0.65,,,,,,,,0.75
102,7.32421875,83.95334528,74.91856343,1,21,5,20.92,102.574184,87.04,0.9947976452,2.21E-01,0.4451285662,8,6,5,-7,15,0,98,7,,3890,,,0.65,,,,,,,,0.75
108,10.77917867,84.68504698,75.6148749,2,21,12,24.4891,86.40344267,70.61396333,0.9947976452,1.80E-01,0.4423031607,8,5,4,-6,16,8,98,7,4891,5384,5402,eta,0.65,,,,,,,,0.75
114,18.56069512,85.19666537,76.310266,2,21,12,24.33282333,68.84057612,51.5951,0.7156212408,1.35E-01,0.3398001305,6,4,3,-4,17,9,98,7,1625,7786,4409,divTotal,0.65,,,,,,,,0.75
