-6,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,Original,Mix98MinCPU60,Mix98MinCPU60,,3783,-10789,14572,0.75
0,100,100,100,1,1,1,0.06683466667,0.8535333333,0.2532506667,3.07E-03,0.005116095815,5.03E-03,1,1,1,0,0,0,98,7,Palaikyti,3092,,,0.65,100,1,7.156272,0.003167426696,1,0,3.851969337,0.75
6,100,100,100,1,1,1,2.365856,4.19136,3.192486667,3.84E-03,0.1858422328,5.03E-03,1,1,1,0,0,0,98,7,2706,3219,3439,eta,0.65,100,1,11.698584,0.3243937228,1,0,,0.75
12,98.18181818,80.92783505,88.0239521,1,1,1,6.756933333,8.146944,7.391,3.13E-03,0.1858422328,4.95E-03,1,1,1,0,0,0,98,7,927,5979,5136,divTotal,0.65,96.50859724,1,16.661496,0.3243937228,1,0,,0.75
18,66.15969582,56.22775801,44.19889503,1,1,1,11.01716,11.84489333,13.497016,3.61E-01,0.3872034603,3.15E-01,1,1,2,0,0,-1,98,7,-576,-47,-48,DivUnder,0.65,78.90546996,1,22.10578667,0.7645335678,2,1,,0.75
24,48.46796657,42.47311828,35.3200883,1,1,1,15.60296,16.453632,17.65641733,2.95E-01,0.2831188679,6.77E-01,2,2,3,-1,-1,-2,98,7,351,5932,5088,DivOver,0.65,67.21534008,1,22.6,0.7645335678,2,1,,0.75
30,38.32599119,28.0141844,29.09090909,1,1,1,20.51617333,20.52,21.04,8.52E-01,0.5178588353,4.76E-01,3,4,4,-2,-3,-3,98,7,2481,9104,8479,Total,0.65,58.11441934,1,22.72,0.70150078,2,1,,0.75
36,27.48815166,24.38271605,24.65331279,1,1,1,20.64,19.92,21.08,8.52E-01,0.9970392798,8.39E-01,4,4,4,-3,-3,-3,98,7,0.92,2.83,2.47,,0.65,51.55018018,1,22.24,0.9958291026,2,1,,0.75
42,23.96694215,20.43984476,21.8579235,1,1,1,20.56,21.8,20.72,6.04E-01,0.8005394551,1.00E+00,4,5,5,-3,-4,-4,98,7,Atstatyti,798,,,0.65,44.0946462,1,22.08,0.773820069,3,2,,0.75
48,21.42857143,18.2448037,17.52464403,1,1,1,20.08,21.8,20.2,9.96E-01,0.9977483374,9.97E-01,4,6,5,-3,-5,-4,98,7,735,842,863,eta,0.65,44.88062379,6,26.33644667,0.5385025197,3,-3,,0.75
54,19.03719912,16.28865979,23.95642337,1,1,10,20.4,21.76,23.23415333,7.06E-01,0.9979986878,4.21E-01,5,6,5,-4,-5,5,98,7,251,989,1263,divTotal,0.65,58.42296751,6,43.57241333,0.4889143825,4,-2,,0.75
60,17.43486974,13.3784928,52.07362636,1,1,10,19.7,22.08,50.86213667,9.97E-01,0.7668206349,4.73E-01,5,8,5,-4,-7,5,98,7,-231,-56,-17,DivUnder,0.65,65.33192458,6,59.21940333,0.4653020371,4,-2,,0.75
66,14.69594595,12.33411397,67.0588427,1,1,10,19.04,21,76.98893778,9.98E-01,0.9977439941,4.95E-01,6,8,5,-5,-7,5,98,7,20,933,1246,DivOver,0.65,72.83069335,9,75.697324,0.5705276511,5,-4,,0.75
72,13.61502347,11.39149243,74.85061111,1,1,11,18.88,20.8,103.4626183,9.99E-01,0.7717716085,4.91E-01,6,8,6,-5,-7,5,98,7,524,1719,2092,Total,0.65,77.55120481,9,95.76063406,0.4807324692,6,-3,,0.75
78,12.5631769,10.57563588,79.10673554,1,1,11,18.36,20.32,129.351304,7.57E-01,0.9944915649,6.16E-01,7,8,7,-6,-7,4,98,7,0.71,2.04,2.42,,0.65,81.3780694,9,107.2573853,0.5581706917,6,-3,,0.75
84,11.76470588,10.01902346,82.05934934,1,1,11,18.48,19.12,138.9287907,6.13E-01,0.9944915649,5.85E-01,7,8,8,-6,-7,3,98,7,,,,,0.65,83.29321028,9,106.415304,0.4984427823,6,-3,,0.75
90,10.33254157,9.316988099,84.07085674,1,14,11,18.48,17.58532,132.442496,9.99E-01,0.9930897251,4.98E-01,8,8,7,-7,6,4,98,7,,,,,0.65,84.55418231,9,100.5975387,0.4420369703,6,-3,,0.75
96,9.655937847,26.91156423,85.53863038,1,14,11,19,29.67010333,124.097168,9.98E-01,0.4556581738,4.55E-01,8,5,7,-7,9,4,98,7,Bendras,,,,0.65,85.54508752,9,85.75897292,0.413152889,5,-4,,0.75
102,9.071949948,38.87806302,86.42304784,1,14,11,19.32,40.52637222,108.48,9.98E-01,0.4748160821,3.89E-01,8,5,6,-7,9,5,98,7,,3890,,,0.65,85.96702999,9,70.06977011,0.3646277672,4,-5,,0.75
108,9.064184223,44.73804304,87.16684577,1,14,11,20.32,46.74187222,90.08,8.05E-01,0.4860155992,3.50E-01,8,5,5,-7,9,6,98,7,3441,4061,4302,eta,0.65,86.20515446,9,47,0.3125017606,3,-6,,0.75
