,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
0,100,100,100,1,1,1,1.131789333,1.186192,0.320688,0.006061309476,0.003162569042,6.81E-03,1,1,1,0,0,0,98,7,Palaikyti,3092,,,0.65,,100,1,0.333588,100,1,0,0.75
6,100,95.41984733,76.43678161,1,1,1,5.378770667,5.4386,3.404736,0.04844997241,0.003162569042,7.34E-03,1,1,1,0,0,0,98,7,2625,3213,3375,eta,0.65,,100,1,4.149138667,100,1,0,0.75
12,64.70588235,69.33962264,52.36220472,1,1,1,10.90353067,10.11404133,8.168692,0.0735476992,0.002993007519,5.86E-03,1,1,1,0,0,0,98,7,1557,7026,8262,divTotal,0.65,,100,1,4.85072,100,1,0,0.75
18,47.35099338,51.04166667,30.93023256,1,1,1,16.60904,14.75826,13.0988,0.4150994669,0.002459745289,5.06E-01,2,2,2,-1,-1,-1,98,7,-1201,-55,-17,DivUnder,0.65,,100,1,4.770306667,100,1,0,0.75
24,28.1496063,40.2739726,24.85981308,1,1,1,22.423204,20.16688333,18.963272,0.6018683,0.7302545465,5.06E-01,4,3,4,-3,-2,-3,98,7,356,6971,8245,DivOver,0.65,,100,1,7.566045333,100,1,0,0.75
30,24.78336222,27.12177122,21.48626817,1,1,1,23.04,20.96,22.6,0.5894480639,0.8597408882,8.71E-01,4,4,5,-3,-3,-4,98,7,1780,10129,11603,Total,0.65,,100,1,11.24,100,1,0,0.75
36,20.75471698,23.33333333,18.86524823,1,1,1,21.2,20.04,21.2,0.9604543325,0.8597408882,6.38E-01,5,4,5,-4,-3,-4,98,7,0.68,3.15,3.44,,0.65,,83.09166412,1,14.68,83.09166412,1,0,0.75
42,18.28644501,20.4735376,20.2857784,1,1,4,21.44,19.44,20.76,0.9970535432,0.9980976523,5.85E-01,5,5,5,-4,-4,-1,98,7,Atstatyti,798,,,0.65,,63.28357842,1,19.36,63.28357842,2,1,0.75
48,14.13043478,17.83980583,28.19481831,1,1,4,19.84,18.04,20.94664333,0.9972871827,0.7033705055,4.77E-01,6,5,4,-5,-4,0,98,7,658,651,683,eta,0.65,,50.50697779,1,22.28,50.50697779,2,1,0.75
54,12.46730602,14.29961089,32.53432903,1,1,4,19.16,16.4,30.87608556,0.7459795201,0.987835694,4.52E-01,7,5,5,-6,-4,-1,98,7,460,1461,927,divTotal,0.65,,43.34190462,1,20.92,43.34190462,3,2,0.75
60,12.25,13.640553,32.7055884,1,16,5,15.68,12.6,30.29187067,0.7776808786,0.4261794161,5.34E-01,6,4,4,-5,12,1,98,7,-406,-23,-21,DivUnder,0.65,,39.44832236,1,19.92,39.44832236,3,2,0.75
66,12.25,13.640553,32.86213194,1,16,5,10.88,8.8,26.50405333,0.8113024347,0.4584650346,5.13E-01,4,3,4,-3,13,1,98,7,54,1438,906,DivOver,0.65,,33.23782658,1,18.8,33.23782658,3,2,0.75
72,12.25,13.640553,32.06216513,1,16,5,6.68,5.88,23.73474,0.8113024347,0.381123072,4.68E-01,3,2,4,-2,14,1,98,7,306,2066,1568,Total,0.65,,35.34537128,6,21.65721667,35.34537128,3,-3,0.75
78,12.25,13.640553,31.77488094,1,16,5,0.12,2.32,11.2,0.3937154869,0.392988247,3.34E-01,1,1,2,0,15,3,98,7,0.47,3.17,2.3,,0.65,,46.50969841,6,25.97359333,46.50969841,3,-3,0.75
84,12.25,13.640553,31.93510796,1,18,5,0,0,0,0.3937154869,0.2918822945,1.52E-01,0,0,0,1,18,5,98,7,,,,,0.65,,45.50096858,6,19.337188,45.50096858,2,-4,0.75
90,12.25,13.640553,32.05569639,1,18,5,0,0,0,0.005151824022,0.02593887882,3.99E-02,0,0,0,1,18,5,98,7,,,,,0.65,,45.44348179,6,16.644872,45.44348179,2,-4,0.75
96,12.25,14.04240579,37.39658086,1,18,5,0,0.5870506667,0,0.005114387567,0.008999213527,9.21E-03,0,1,0,1,17,5,98,7,Bendras,,,,0.65,,45.55274246,6,12.12,45.55274246,2,-4,0.75
102,13.89108129,42.03713872,46.75960055,1,18,5,6.72,21.58666133,9.034056,0.004272277654,0.0103620448,1.83E-02,3,3,1,-2,15,4,98,7,,3890,,,0.65,,45.47162908,6,0.12,45.47162908,1,-5,0.75
108,11.85185185,62.97202896,55.97973807,1,18,5,16,54.37739068,31.32596,0.04073006887,0.01599888762,1.12E-01,6,4,3,-5,14,2,98,7,3283,3864,4058,eta,0.65,,45.24193551,6,0,45.24193551,0,-6,0.75
114,11.14629512,72.7710552,57.81350817,1,18,5,19.84,87.96956933,59.008328,0.03420591464,0.1419506871,1.19E-01,8,6,5,-7,12,0,98,7,2017,8487,9189,divTotal,0.65,,45.09203127,6,0,45.09203127,0,-6,0.75
120,10.55788842,78.82506816,59.91568889,1,18,5,22.88,122.7262499,75.6102,0.5901164481,0.2866144707,3.67E-01,8,7,6,-7,11,-1,98,7,-1607,-78,-38,DivUnder,0.65,,46.48432225,6,5.24,46.48432225,1,-5,0.75
126,9.943502825,82.31670513,61.62622475,1,18,5,20.68,150.0835787,85.64,0.7027809494,0.3038941859,3.84E-01,8,8,6,-7,10,-1,98,7,410,8409,9151,DivOver,0.65,,45.48892878,6,10.36219,45.48892878,1,-5,0.75
132,9.322033898,84.92889898,62.32074138,1,18,5,20.48,150.5206208,86.28,0.9960251439,0.3732870345,6.46E-01,8,8,6,-7,10,-1,98,7,2076,12185,13152,Total,0.65,,43.87031039,6,11.72,43.87031039,2,-4,0.75
138,8.189855747,86.72740218,64.3075201,1,18,5,20.04,149.76,90.88,0.7489113057,0.3184822081,6.27E-01,8,8,7,-7,10,-2,98,7,0.63,3.15,3.24,,0.65,,39.89837312,6,19.48149333,39.89837312,3,-3,0.75
