,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,0.75
6,100,100,100,1,1,1,0.13504,0.109444,0.138048,0.00710802562,0.002901246219,0.00262389564,1,1,1,0,0,0,98,7,Palaikyti,3092,,,0.65,,,,,,,,0.75
12,100,100,100,1,1,1,0.632448,0.6435066667,0.7176,0.005347683586,0.003549721103,0.001822761992,1,1,1,0,0,0,98,7,3826,4569,4769,eta,0.65,,,,,,,,0.75
18,100,100,100,1,1,1,1.459146667,1.646176,1.67502,0.004398841144,0.08276645236,0.06529876199,1,1,1,0,0,0,98,7,1077,1625,2915,divTotal,0.65,,,,,,,,0.75
24,100,100,100,1,1,1,2.685314667,4.233666667,3.123684,0.09753969,0.117927618,0.1671846447,1,1,1,0,0,0,98,7,-666,-62,-59,DivUnder,0.65,,,,,,,,0.75
30,100,100,100,1,1,1,4.543024,6.332524,5.067977333,0.1825708933,0.08415249306,0.1671846447,1,1,1,0,0,0,98,7,411,1563,2856,DivOver,0.65,,,,,,,,0.75
36,100,100,100,1,1,1,7.77408,8.900826667,8.655878667,0.1825708933,0.2786628718,0.2347828029,1,1,1,0,0,0,98,7,3571,6070,7566,Total,0.65,,,,,,,,0.75
42,100,100,100,1,1,1,10.16,11.12,11.4,0.2316428322,0.2786628718,0.2083647829,1,1,1,0,0,0,98,7,0.93,1.33,1.59,,0.65,,,,,,,,0.75
48,100,100,100,1,1,1,12.04,13,13.52,0.1904278834,0.3756738952,0.3916009854,1,1,1,0,0,0,98,7,Atstatyti,798,,,0.65,,,,,,,,0.75
54,100,100,100,1,1,1,13.8,17.04,15.36,0.3743929135,0.3756738952,0.5127054657,1,1,1,0,0,0,98,7,730,842,888,eta,0.65,,,,,,,,0.75
60,100,100,100,1,1,1,15.4,18.92,17.36,0.5093783397,0.3563592063,0.5127054657,1,1,1,0,0,0,98,7,290,305,427,divTotal,0.65,,,,,,,,0.75
66,100,100,100,1,1,1,18.44,20.8,21.48,0.5093783397,0.5845837217,0.5127054657,1,1,1,0,0,0,98,7,-231,-48,-14,DivUnder,0.65,,,,,,,,0.75
72,100,100,100,1,1,1,20.04,22.84,23.2,0.4996555056,0.5845837217,0.2801550222,1,1,1,0,0,0,98,7,59,257,413,DivOver,0.65,,,,,,,,0.75
78,100,100,100,1,1,1,21.52,24.48,24.96,0.4532271529,0.7185226522,0.7138033088,1,2,2,0,-1,-1,98,7,558,1051,1287,Total,0.65,,,,,,,,0.75
84,99.64028777,99.56076135,100,1,1,1,22.8,26.52,26.48,0.7096277898,0.7185226522,0.7138033088,1,2,2,0,-1,-1,98,7,0.76,1.25,1.45,,0.65,,,,,,,,0.75
90,99.67741935,98.23369565,98.03122878,1,1,1,24.12,25.96,24.96,0.833282259,0.38672736,0.5767989887,2,2,2,-1,-1,-1,98,7,,,,,0.65,,,,,,,,0.75
96,98.99193548,97.10873664,96.53434152,1,1,1,25.28,25.4,24.32,0.833282259,0.8743102583,0.8311720101,2,2,2,-1,-1,-1,98,7,,,,,0.65,,,,,,,,0.75
102,96.50872818,95.86005831,94.10029499,1,1,1,24.92,25.04,23.24,0.671722717,0.6716597123,0.6742107165,2,2,2,-1,-1,-1,98,7,Bendras,,,,0.65,,,,,,,,0.75
108,93.56348742,93.53070175,91.30675526,1,1,1,24.16,24.12,22.08,0.5883826989,0.9656345982,0.9504232473,2,2,2,-1,-1,-1,98,7,,3890,,,0.65,,,,,,,,0.75
114,90.17660044,86.3127131,88.06434873,1,1,1,23.04,23.64,22.76,0.9523452475,0.9656345982,0.9618738481,2,2,2,-1,-1,-1,98,7,4556,5411,5657,eta,0.65,,,,,,,,0.75
120,86.84347374,81.96042338,81.9111571,1,1,4,22.4,23.76,21.64804,0.9799823049,0.9951792078,0.9889505118,2,2,2,-1,-1,2,98,7,1367,1930,3342,divTotal,0.65,,,,,,,,0.75
