,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,259.525,260.4797867,260.375,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,9992,9828,9659,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.75,,original,,,,3815,-15533,,73,76
0,100,100,100,1,1,1,0.2447111111,0.1732461111,0.3819644444,7.75E-04,0.001013759833,0.003198268414,1,1,1,0,0,0,97,7,Palaikyti,3092,,,0.75,,100,1,0.333588,100,1,0,0.75,,
6,100,100,100,1,1,1,0.8902444444,0.7436183333,0.7818844444,7.75E-04,0.01218107567,0.00430581936,1,1,1,0,0,0,97,7,9250,9138,8955,eta,0.75,,100,1,4.149138667,100,1,0,0.75,,
12,100,100,100,1,1,1,1.391986111,1.224123333,1.299884444,2.42E-02,0.01218107567,0.003318602626,1,1,1,0,0,0,97,7,2183,1517,5233,divTotal,0.75,,100,1,4.85072,100,1,0,0.75,,
18,100,100,100,1,1,1,2.080968333,1.869008333,2.46042,2.74E-02,0.05784467159,0.05307268543,1,1,1,0,0,0,97,7,-20,-16,0,DivUnder,0.75,,100,1,4.770306667,100,1,0,0.75,,
24,100,100,100,1,1,1,2.897277778,2.640040556,3.36144,2.35E-02,0.05898351104,0.05935362971,1,1,1,0,0,0,97,7,2163,1501,5233,DivOver,0.75,,100,1,7.566045333,100,1,0,0.75,,
30,100,100,100,1,1,1,3.872228889,3.593422222,4.399031111,8.72E-02,0.07637399674,0.1026400184,1,1,1,0,0,0,97,7,11393,10623,14188,Total,0.75,,100,1,11.24,100,1,0,0.75,,
36,100,100,100,1,1,1,5.528167778,5.233055556,5.6,8.85E-02,0.1380003131,0.1286271284,1,1,1,0,0,0,97,7,1.23,1.16,1.58,,0.75,,83.09166412,1,14.68,83.09166412,1,0,0.75,,
42,100,100,100,1,1,1,6.843196667,6.506638889,7.477813333,1.66E-01,0.1667727387,0.1764583421,1,1,1,0,0,0,97,7,Atstatyti,798,,,0.75,,63.28357842,1,19.36,63.28357842,2,1,0.75,,
48,100,100,100,1,1,1,7.925,7.625,8.575,2.43E-01,0.225994243,0.1611195672,1,1,1,0,0,0,97,7,742,690,704,eta,0.75,,50.50697779,1,22.28,50.50697779,2,1,0.75,,
54,100,100,100,1,1,1,8.95,8.625,9.575,2.73E-01,0.2514540134,0.1651461426,1,1,1,0,0,0,97,7,59,30,333,divTotal,0.75,,43.34190462,1,20.92,43.34190462,3,2,0.75,,
