,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
0,100,100,100,1,1,1,0.5425,0.501176,0.220312,4.49E-02,5.93E-03,6.44E-03,1,1,1,0,0,0,98,7,Palaikyti,3092,,,0.65,,100,1,0.333588,100,1,0,0.75,,
6,100,100,100,1,1,1,1.162830667,0.957504,0.57142,5.83E-02,6.55E-03,5.12E-03,1,1,1,0,0,0,98,7,4483,4502,4475,eta,0.65,,100,1,4.149138667,100,1,0,0.75,,
12,100,100,100,1,1,1,1.903878667,2.178204,1.143798667,1.08E-01,9.74E-02,7.60E-02,1,1,1,0,0,0,98,7,410,534,724,divTotal,0.65,,100,1,4.85072,100,1,0,0.75,,
18,100,100,100,1,1,1,3.285066667,3.327509333,2.49076,7.57E-02,1.91E-01,7.60E-02,1,1,1,0,0,0,98,7,-111,-61,-146,DivUnder,0.65,,100,1,4.770306667,100,1,0,0.75,,
24,100,100,100,1,1,1,4.51074,4.44,3.462810667,1.53E-01,1.91E-01,1.74E-01,1,1,1,0,0,0,98,7,299,473,578,DivOver,0.65,,100,1,7.566045333,100,1,0,0.75,,
30,100,100,100,1,1,1,5.32,5.52,4.52,1.99E-01,1.89E-01,1.74E-01,1,1,1,0,0,0,98,7,4671,4914,4907,Total,0.65,,100,1,11.24,100,1,0,0.75,,
36,100,100,100,1,1,1,6.16,6.24,5.48,1.99E-01,1.10E-01,1.43E-01,1,1,1,0,0,0,98,7,1.04,1.09,1.1,,0.65,,83.09166412,1,14.68,83.09166412,1,0,0.75,,
42,100,100,100,1,1,1,7.12,7.92,6.32,2.02E-01,2.14E-01,2.04E-01,1,1,1,0,0,0,98,7,Atstatyti,798,,,0.65,,63.28357842,1,19.36,63.28357842,2,1,0.75,,
48,100,100,100,1,1,1,9,9.04,7.76,1.47E-01,2.14E-01,2.04E-01,1,1,1,0,0,0,98,7,827,847,856,eta,0.65,,50.50697779,1,22.28,50.50697779,2,1,0.75,,
54,100,100,100,1,1,1,10.08,9.64,8.76,2.44E-01,2.61E-01,1.46E-01,1,1,1,0,0,0,98,7,73,69,83,divTotal,0.65,,43.34190462,1,20.92,43.34190462,3,2,0.75,,
60,100,100,100,1,1,1,11,10.56,9.56,3.13E-01,3.05E-01,2.44E-01,1,1,1,0,0,0,98,7,-61,-37,-39,DivUnder,0.65,,39.44832236,1,19.92,39.44832236,3,2,0.75,,
66,100,100,100,1,1,1,11.68,12.2,10.4,3.13E-01,2.87E-01,2.81E-01,1,1,1,0,0,0,98,7,12,32,44,DivOver,0.65,,33.23782658,1,18.8,33.23782658,3,2,0.75,,
72,100,100,100,1,1,1,12.72,12.72,11.24,3.13E-01,3.44E-01,3.24E-01,1,1,1,0,0,0,98,7,778,842,861,Total,0.65,,35.34537128,6,21.65721667,35.34537128,3,-3,0.75,,
78,100,100,100,1,1,1,14.08,13.76,13.24,2.36E-01,2.43E-01,1.89E-01,1,1,1,0,0,0,98,7,0.94,0.99,1.01,,0.65,,46.50969841,6,25.97359333,46.50969841,3,-3,0.75,,
84,100,100,100,1,1,1,14.92,14.56,14.24,3.97E-01,4.27E-01,4.35E-01,1,1,1,0,0,0,98,7,,,,,0.65,,45.50096858,6,19.337188,45.50096858,2,-4,0.75,,
90,100,100,100,1,1,1,16.2,15.64,15.12,4.26E-01,4.37E-01,4.35E-01,1,1,1,0,0,0,98,7,,,,,0.65,,45.44348179,6,16.644872,45.44348179,2,-4,0.75,,
96,100,100,100,1,1,1,16.8,17.28,16.04,4.26E-01,4.52E-01,3.47E-01,1,1,1,0,0,0,98,7,Bendras,,,,0.65,,45.55274246,6,12.12,45.55274246,2,-4,0.75,,
102,100,100,100,1,1,1,17.8,18,16.68,3.74E-01,4.52E-01,4.86E-01,1,1,1,0,0,0,98,7,,3890,,,0.65,,45.47162908,6,0.12,45.47162908,1,-5,0.75,,
108,100,100,100,1,1,1,19.52,19.12,18.2,4.97E-01,2.32E-01,5.08E-01,1,1,1,0,0,0,98,7,5310,5349,5331,eta,0.65,,45.24193551,6,0,45.24193551,0,-6,0.75,,
